Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
"Cobb County, Georgia",748150,*****,439448,6286,202244,5220,3133,1619,39953,1706,676,969,36792,6523,25904,4974,4019,1950,21885,4224
"Columbia County, Georgia",147450,*****,108438,1975,24938,1540,932,975,6402,665,0,218,1413,1034,5327,2019,152,253,5175,2021
"Coweta County, Georgia",140526,*****,106080,2061,25153,1121,88,118,1696,489,97,167,3424,2114,3988,1353,93,160,3895,1381
"DeKalb County, Georgia",740321,*****,259015,3606,403352,2769,5253,2103,45634,1129,101,135,9586,3005,17380,2592,4487,1505,12893,2352
"Dougherty County, Georgia",90017,*****,24254,497,62375,1092,258,344,799,100,50,104,666,544,1615,1081,26,44,1589,1082
"Douglas County, Georgia",142224,*****,67268,2496,67469,1739,73,106,2242,461,0,218,2812,1678,2360,1129,445,480,1915,957
"Fayette County, Georgia",111627,*****,76827,1148,23905,1948,217,245,4945,612,0,218,2120,1770,3613,1753,697,777,2916,1516
"Floyd County, Georgia",96560,*****,74482,2530,13603,859,14,26,1623,218,0,218,4690,2519,2148,878,146,184,2002,868
"Forsyth County, Georgia",221009,*****,179397,1801,7490,1098,387,351,25847,983,0,218,3346,1659,4542,1531,533,612,4009,1416
"Fulton County, Georgia",1023336,*****,455532,5631,447187,4077,9001,3323,68259,2025,879,709,11948,4408,30530,5181,3670,1714,26860,4868
"Glynn County, Georgia",84502,*****,58096,948,21354,1476,317,288,1114,513,211,241,1095,884,2315,1310,316,353,1999,1275
"Gwinnett County, Georgia",907135,*****,438099,9931,248723,4189,1346,977,103900,3152,82,139,88207,9965,26778,4862,6261,3200,20517,4120
"Hall County, Georgia",196637,*****,168678,2292,14687,1104,412,310,3451,600,99,174,4766,1780,4544,1984,877,674,3667,1830
"Henry County, Georgia",221768,*****,110602,2833,94657,2274,0,218,7935,326,0,218,2709,1801,5865,2543,960,1320,4905,2176
"Houston County, Georgia",152122,*****,93711,1507,45011,1665,622,568,4623,970,0,218,1763,1080,6392,2233,1502,1213,4890,1869
