,Geography,Total; Estimate; All households,Mean income (dollars); Estimate; All households,Total; Estimate; All households - With earnings,Mean income (dollars); Estimate; All households - With earnings,"Total; Estimate; All households - With interest, dividends, or net rental income","Mean income (dollars); Estimate; All households - With interest, dividends, or net rental income",Total; Estimate; All households - With Social Security income,Mean income (dollars); Estimate; All households - With Social Security income,Total; Estimate; All households - With Supplemental Security Income (SSI),Mean income (dollars); Estimate; All households - With Supplemental Security Income (SSI),Total; Estimate; All households - With cash public assistance income,Mean income (dollars); Estimate; All households - With cash public assistance income,Total; Estimate; All households - With retirement income,Mean income (dollars); Estimate; All households - With retirement income,Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families,Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families,Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - No workers,Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - No workers,Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 1 worker,Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 1 worker,"Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, husband and wife worked","Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, husband and wife worked","Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, other","Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, other","Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, husband and wife worked","Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, husband and wife worked","Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, other","Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, other",Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - White,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - White,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Black or African American,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Black or African American,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - American Indian and Alaska Native,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - American Indian and Alaska Native,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Asian,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Asian,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Native Hawaiian and Other Pacific Islander,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Native Hawaiian and Other Pacific Islander,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Some other race,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Some other race,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - Two or more races,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - Two or more races,Total; Estimate; Hispanic or Latino origin (of any race),Mean income (dollars); Estimate; Hispanic or Latino origin (of any race),"Total; Estimate; White alone, not Hispanic or Latino","Mean income (dollars); Estimate; White alone, not Hispanic or Latino",Total; Estimate; PERCENT ALLOCATED - Household income in the past 12 months,Total; Estimate; PERCENT ALLOCATED - Family income in the past 12 months,Total; Estimate; PERCENT ALLOCATED - Individual income in the past 12 months
482,"Wayne County, New York",37496,70422,77.1,69993,21.8,8962,35.0,20249,4.2,9184,1.2,2321,23.2,24206,26178,75563,17.8,50344,27.6,57441,35.1,95600,9.2,73370,8.8,106101,1.5,73622,90798,28775,93.1,29665,2.7,18931,0.1,N,0.9,30039,0.0,N,1.2,14201,2.1,10321,4.3,17115,90.0,30060,36.6,36.0,29.3
483,"Westchester County, New York",342216,141104,79.2,147193,29.6,32945,31.5,20811,4.0,9321,1.7,4420,19.1,33731,235177,170464,10.8,68669,30.3,155300,31.8,229065,11.8,122814,10.5,212717,4.9,131524,974542,50631,64.5,61356,14.8,31237,0.3,18952,5.9,63538,0.0,N,11.1,16546,3.3,22368,24.4,21948,53.8,68152,38.2,38.5,30.7
484,"Alamance County, North Carolina",64369,60609,78.2,59690,17.4,13276,32.8,18231,6.2,8686,1.9,1922,20.8,20361,41792,71816,12.8,49200,36.0,48685,30.1,98156,10.1,59540,9.3,116230,1.8,94099,159688,24888,69.5,28360,19.5,18796,0.5,24485,1.4,21290,0.2,N,7.0,12092,2.0,10944,12.6,12658,64.6,29392,38.0,37.0,30.1
485,"Brunswick County, North Carolina",54331,66132,60.2,61120,26.5,26911,52.1,21539,3.9,9924,1.7,3502,31.0,29493,35546,80211,34.6,56678,30.1,86363,28.1,101672,3.2,82187,2.5,99418,1.5,62965,126953,30616,83.4,33543,10.3,18214,0.8,25283,0.6,25910,0.0,N,2.2,15121,2.7,N,4.7,14141,81.6,33935,30.9,31.6,26.6
486,"Buncombe County, North Carolina",103127,68923,73.0,67496,23.3,24390,34.6,18989,3.9,9645,1.6,2478,22.5,24516,60768,82046,19.5,61136,31.8,71623,34.2,103165,6.9,66871,5.2,104710,2.3,83782,256088,29472,88.6,30779,6.0,21710,0.4,18842,1.4,32674,0.2,N,1.2,5691,2.2,11852,6.4,11740,83.8,31790,23.6,23.6,20.7
487,"Burke County, North Carolina",35211,51815,68.5,51425,14.4,13125,42.4,18101,7.0,9869,2.3,1136,21.4,24700,24381,60867,22.3,42368,35.2,45862,24.2,90352,9.6,53344,6.9,101859,1.8,68211,88851,21030,84.2,22640,6.1,13594,0.6,4154,3.9,16987,0.1,N,3.9,9083,1.2,N,6.2,10917,82.1,22859,31.4,32.2,23.9
488,"Cabarrus County, North Carolina",70438,78726,80.5,81013,21.4,11247,27.2,19270,3.0,9838,1.3,2818,19.1,22553,50005,91011,12.9,39750,31.3,74613,34.6,112355,7.6,85201,11.1,133118,2.6,95432,201590,28721,70.1,32031,17.1,20387,0.3,N,3.1,45125,0.2,N,6.2,15381,3.1,9104,10.1,16922,67.0,32460,34.3,32.7,27.1
489,"Caldwell County, North Carolina",32911,50001,69.2,51118,17.1,12199,40.6,18268,7.1,9220,3.2,2868,18.9,17109,22281,59875,24.1,35167,33.0,42402,27.9,86714,6.2,62339,7.1,114194,1.7,73876,81449,20921,88.5,22220,4.4,11433,0.7,18040,0.4,N,0.0,N,4.4,9910,1.6,N,5.1,9852,87.7,22321,35.0,33.8,28.7
490,"Carteret County, North Carolina",27506,64471,68.1,59309,24.5,22240,45.1,19467,3.7,10721,5.6,3227,30.5,25816,17826,77922,22.8,61998,35.2,64182,28.5,106958,8.8,60302,3.7,124471,1.0,80558,68890,27448,89.8,28228,5.5,20245,0.4,16484,0.8,49025,0.0,N,0.5,N,3.0,14846,4.4,12804,86.2,28878,29.0,28.3,21.4
491,"Catawba County, North Carolina",61618,65599,77.3,65390,19.8,14383,35.1,19060,5.0,10874,2.8,2516,19.4,18349,43066,77885,15.1,46161,30.6,68032,35.2,93189,8.5,69032,7.9,117637,2.6,78922,156459,26182,78.0,29050,8.9,15976,0.4,25111,4.1,26169,0.0,N,7.0,10463,1.6,12405,9.5,11916,76.0,29320,32.0,35.6,24.5
492,"Chatham County, North Carolina",28568,94054,67.7,99344,32.4,27895,42.7,20941,3.2,11366,0.8,N,25.9,29377,20179,112711,N,N,N,N,N,N,N,N,N,N,N,N,72243,39762,82.3,43584,11.1,22660,0.0,N,1.2,56693,0.0,N,1.6,8749,3.7,14298,11.9,13118,72.3,47682,31.4,33.2,24.8
493,"Cleveland County, North Carolina",36405,50519,69.4,56180,17.3,8139,36.1,17275,8.4,9067,3.4,2816,18.2,12944,25746,61094,22.2,26109,34.6,47726,28.5,99736,7.9,46127,5.7,99409,1.1,93800,97144,20123,74.0,23287,21.3,11131,0.2,N,1.2,15994,0.0,N,2.6,8569,0.8,7747,3.5,9092,73.2,23401,38.3,37.6,29.7
494,"Craven County, North Carolina",40297,67148,73.5,63132,20.7,15537,38.4,18127,2.8,11540,6.2,3640,26.8,28107,27799,75997,19.2,49107,37.7,67289,31.2,102691,6.3,53408,4.8,105843,0.7,87053,103445,27559,69.2,32951,19.9,16341,0.8,21518,3.1,17276,0.0,N,2.9,12309,4.0,11020,7.1,16339,65.9,33608,30.0,29.4,23.4
495,"Cumberland County, North Carolina",124014,57267,77.5,53129,13.3,15526,26.6,16859,6.1,10502,1.9,2468,23.9,25219,77605,64085,17.2,40882,38.0,54468,29.7,84639,9.8,57427,3.8,119769,1.7,69922,327127,23107,49.8,27388,38.1,19713,1.5,13604,2.3,23619,0.2,19297,2.3,20846,5.7,11859,11.3,19407,43.7,27909,36.8,35.7,28.5
496,"Davidson County, North Carolina",62695,59441,74.9,60448,16.8,12408,36.6,19204,5.7,10392,1.4,1804,20.3,18236,43104,69632,19.2,40266,31.0,50479,32.5,96411,7.4,53616,9.1,114137,0.9,71134,164926,23771,84.7,25641,8.3,13403,0.1,N,1.6,17580,0.0,N,2.6,16245,2.7,8297,7.0,11565,80.5,26532,38.3,39.0,29.8
497,"Durham County, North Carolina",123697,77836,83.1,76045,18.6,25317,23.0,19005,4.3,8962,1.6,2160,17.0,24223,71529,96350,11.6,46227,33.1,74753,37.4,127604,9.5,76972,6.1,156467,2.3,74152,306212,32339,51.6,39070,36.9,25978,0.2,27519,5.1,34193,0.1,N,3.4,13066,2.6,11413,13.4,14769,42.2,44568,32.0,34.2,27.8
498,"Forsyth County, North Carolina",146219,73006,75.3,72755,19.7,26887,31.2,18780,4.2,10463,1.3,3912,18.0,29375,94905,84096,16.0,51509,37.0,69248,31.0,114197,7.5,77067,6.3,118531,2.2,71680,371511,29139,66.2,34479,26.3,18694,0.4,29388,2.3,29481,0.0,N,2.4,11113,2.4,14106,12.7,11810,57.0,38078,32.2,32.6,25.9
499,"Gaston County, North Carolina",82982,69661,76.8,65778,15.6,35782,34.2,17969,6.4,10416,3.9,2720,18.8,29189,55962,73301,16.1,35502,34.3,63088,31.1,101946,10.2,54618,6.1,109224,2.3,90189,216965,27526,77.4,27119,15.8,34254,0.5,26415,1.7,25033,0.0,N,2.4,11996,2.3,12732,6.8,12401,73.3,27962,46.5,47.1,40.6
500,"Guilford County, North Carolina",201520,69367,77.3,72036,16.5,15774,30.3,18233,4.4,9267,1.7,1716,18.1,21104,125888,82206,16.1,40534,36.8,66683,29.0,115974,9.5,71471,6.5,135667,2.1,90357,521330,28004,55.8,35120,33.6,19297,0.4,9931,5.0,25445,0.1,N,2.9,13448,2.2,9518,7.9,12632,51.0,37131,33.1,34.1,29.2
501,"Harnett County, North Carolina",43960,62276,80.2,61513,13.2,8437,27.7,17583,4.7,8293,2.0,3178,22.5,21958,30968,70931,12.1,38601,36.6,56274,33.6,92209,10.9,70116,4.8,109065,2.1,89063,130881,22096,66.4,25454,21.0,17187,0.7,21399,0.7,23423,0.2,N,6.7,11438,4.4,10216,12.4,13085,61.9,26175,29.6,30.9,22.7
502,"Henderson County, North Carolina",47791,68263,68.3,66698,31.8,14532,44.3,20358,5.4,10075,1.3,1620,27.5,27347,30372,78234,23.7,59316,31.6,70096,30.2,96545,7.2,64906,5.7,121158,1.7,81051,114209,29283,93.0,30189,4.6,20271,0.0,N,1.4,14579,0.0,N,0.3,N,0.7,N,9.9,10818,83.7,32384,32.9,33.9,27.5
503,"Iredell County, North Carolina",65037,79750,79.5,81399,18.0,18540,31.6,19080,4.2,10473,2.0,2488,19.7,20956,46238,90184,15.2,43787,32.9,64405,34.3,124269,8.2,71777,7.4,153598,2.0,123455,172916,30683,82.5,32882,12.5,21362,0.1,N,2.6,21991,0.0,N,1.0,15609,1.3,11601,7.5,16744,76.2,34155,31.8,31.1,23.9
504,"Johnston County, North Carolina",66254,65036,78.5,66818,13.0,9567,29.4,18152,5.3,9405,1.4,4642,20.2,19753,48973,72017,15.8,37403,33.0,52054,33.7,100413,7.0,61125,9.3,108447,1.3,59203,191450,23918,78.3,25240,16.6,20610,0.4,54038,0.3,N,0.0,N,1.6,12886,2.8,6624,13.3,13174,68.4,27049,28.6,27.7,21.6
505,"Lincoln County, North Carolina",31588,67290,75.8,72884,18.7,9528,34.5,18018,5.0,10724,5.4,3888,15.3,17953,23056,76656,16.5,32116,34.0,61274,30.3,110815,9.4,62914,9.0,114179,0.8,97356,81168,26844,87.4,28330,4.4,14233,1.4,N,0.8,21324,0.1,N,4.0,13835,1.8,N,7.2,14380,84.8,28622,31.6,28.9,23.9
506,"Mecklenburg County, North Carolina",399504,89684,85.1,90845,18.5,20530,21.0,20047,3.3,9491,1.1,3007,12.3,24586,247423,107409,9.7,50368,36.1,91314,36.0,142237,9.8,84559,6.1,133718,2.3,82467,1054835,35332,54.5,45152,31.7,23442,0.3,24904,5.6,34277,0.1,6980,5.3,14276,2.5,20975,13.0,16036,47.4,49066,30.9,32.9,25.3
507,"Moore County, North Carolina",38786,72904,64.6,73868,27.4,26222,44.4,19155,3.8,7573,0.6,1755,28.2,25821,25308,90760,22.4,77619,30.6,78467,35.3,108587,4.4,65055,6.3,116362,1.0,85922,95776,30763,82.5,33774,13.6,15746,0.1,N,1.7,21371,0.1,N,0.5,N,1.5,18878,6.4,13429,77.3,35129,29.8,31.7,26.4
508,"Nash County, North Carolina",35409,64941,76.5,64004,14.5,22895,38.2,17901,6.9,7681,0.9,1452,22.3,18922,23988,76325,15.5,42171,32.5,55919,29.8,106277,10.9,60087,9.4,121278,1.8,104392,94005,26185,53.4,30723,40.2,21002,0.5,12870,0.9,39333,0.0,N,3.4,22168,1.7,10690,6.8,18547,50.4,31663,28.0,30.6,25.1
509,"New Hanover County, North Carolina",92808,70803,74.4,74307,20.1,15276,31.4,18166,4.7,7839,3.2,501,19.2,27606,51746,94338,20.6,50493,37.0,86964,29.8,132817,6.1,68319,4.6,142916,1.9,73194,223483,30605,81.0,33365,13.9,12900,0.3,N,1.0,83559,0.0,N,1.0,26866,2.9,23682,5.4,18887,77.0,34111,23.6,25.0,18.3
510,"Onslow County, North Carolina",61766,56900,81.7,52974,13.0,8876,25.3,15464,3.8,10195,2.4,2158,21.6,22956,42793,63054,12.1,46181,36.8,51627,37.9,75253,7.0,59935,5.2,98616,1.0,62462,187136,21489,74.5,23333,13.0,19426,0.3,34124,1.8,17749,0.2,26318,1.7,17117,8.5,9563,12.2,15471,66.5,24143,32.4,32.1,21.9
511,"Orange County, North Carolina",50203,94564,81.4,94010,31.6,17937,25.1,20386,2.3,7725,0.9,2458,18.2,31884,30695,122225,10.5,71063,32.7,93285,41.1,163058,9.1,88236,5.2,145305,1.4,119551,141796,35790,75.2,39722,10.5,19154,0.5,15110,7.9,34596,0.0,N,1.4,24486,4.5,16728,8.4,16218,69.0,41886,24.0,22.7,22.2
512,"Pitt County, North Carolina",70019,62944,79.0,65398,13.9,8183,25.0,18526,4.8,7602,1.0,3175,17.1,22196,40746,81396,14.3,39184,31.7,71260,34.1,111337,10.5,54627,7.0,113129,2.5,67097,177220,25562,57.7,32028,35.3,17368,0.4,13702,1.7,18930,0.0,N,2.4,15335,2.5,8802,6.2,19237,55.0,32137,47.9,48.9,39.5
513,"Randolph County, North Carolina",56793,55496,75.3,56932,18.2,8584,37.2,18697,5.3,11668,1.6,1953,17.3,14921,38908,63473,16.0,29990,34.0,49592,30.0,83886,9.0,62579,7.2,111241,3.7,79529,143416,22075,83.7,23685,6.8,17974,0.2,10744,1.0,14048,0.0,N,6.4,9358,2.0,14160,11.1,10881,79.3,24432,34.4,33.8,27.1
514,"Robeson County, North Carolina",45123,47961,68.3,52578,8.2,N,38.2,15563,8.5,8760,1.4,1790,18.0,15801,30745,54349,23.7,28674,37.3,45953,21.6,80805,11.3,64699,3.9,92655,2.3,92070,133235,18164,28.9,21147,24.3,19278,39.6,16291,0.7,26915,0.1,N,4.7,11726,1.7,8737,8.6,8434,25.5,23257,42.6,45.7,33.6
515,"Rockingham County, North Carolina",38163,50217,67.9,51500,17.7,12928,40.2,18120,4.4,9939,2.5,1418,22.3,17641,25401,58508,23.7,39066,34.5,49398,27.8,77731,7.8,63258,5.6,97149,0.6,37352,91393,21319,77.3,23130,17.4,16702,0.8,N,0.7,N,0.1,N,1.2,N,2.5,4542,6.2,12827,72.4,23933,44.8,49.2,36.0
516,"Rowan County, North Carolina",50138,62377,72.9,64100,16.3,13684,39.2,18600,5.2,8528,1.0,3092,23.1,17979,33557,72342,17.4,40020,34.7,60896,29.7,101616,9.2,66888,5.8,96371,3.3,72888,139933,23866,76.8,25677,16.1,20407,0.5,N,0.8,17120,0.0,N,3.9,11787,2.0,9959,8.4,10584,72.7,26579,42.7,41.9,33.4
517,"Rutherford County, North Carolina",26982,46400,64.7,47709,15.7,11808,42.6,17704,6.9,6735,3.7,1811,23.4,18712,15966,58820,N,N,N,N,N,N,N,N,N,N,N,N,66421,20240,87.4,21305,8.8,13193,0.9,23198,1.1,N,0.0,N,0.3,N,1.4,N,4.2,11003,83.5,21844,29.4,31.7,24.4
518,"Surry County, North Carolina",28261,59268,63.9,62391,16.6,38348,39.6,17277,6.6,10244,2.2,2087,19.3,17738,19936,72663,26.3,43277,28.8,68012,25.8,90360,8.3,92711,8.8,104534,2.1,74547,72113,23657,90.2,24036,3.8,37509,0.2,N,0.6,11802,0.2,N,3.6,10134,1.5,6669,10.3,9665,84.3,25058,33.4,34.2,24.7
519,"Union County, North Carolina",74763,98685,84.2,100312,21.9,15419,27.1,20791,2.8,9464,1.3,925,17.8,19348,59983,110519,11.3,47012,29.2,113489,36.3,125095,10.2,87709,10.5,145918,2.5,95878,226606,33122,82.6,35144,11.3,18950,0.2,22286,2.6,46341,0.0,N,1.0,14301,2.3,24852,11.0,18803,72.7,37329,32.0,32.5,24.7
520,"Wake County, North Carolina",387771,100576,86.3,98651,25.0,21657,21.3,20724,2.8,8809,1.0,1891,15.6,26502,257683,118332,9.1,60702,31.9,93701,40.5,148810,8.0,88704,8.1,159658,2.3,108117,1046791,38515,65.7,44387,20.4,26705,0.4,29899,6.6,38631,0.0,N,3.9,14730,3.0,21604,10.0,19286,60.3,46302,27.7,29.0,22.5
521,"Wayne County, North Carolina",47240,58296,68.7,62077,13.5,10766,37.5,17076,8.8,8905,1.2,N,27.6,18520,31900,66626,18.2,41303,38.5,47410,29.7,103333,8.1,56820,4.6,108204,0.9,67852,124150,23240,64.2,26466,29.8,17202,0.3,21388,1.2,42126,0.1,N,0.9,N,3.5,9510,11.5,9919,53.8,29850,25.3,25.6,19.7
522,"Wilkes County, North Carolina",28771,51346,70.1,50500,23.6,10969,40.8,18834,6.7,9470,1.2,N,17.5,20890,19566,61425,20.5,N,35.5,N,26.7,N,9.0,N,6.8,N,1.6,N,68740,21522,90.3,22287,2.9,23304,0.0,N,1.8,15678,0.2,N,2.8,6729,2.0,N,6.2,12080,87.6,22569,31.3,30.6,21.7
523,"Wilson County, North Carolina",30897,60107,69.8,64747,15.5,15269,37.7,17311,10.5,13020,1.8,N,20.9,17070,19778,74414,17.4,40971,33.6,46144,30.0,132491,11.1,45016,5.1,106682,2.8,56529,81661,23385,50.8,32500,39.8,14769,0.7,N,0.3,N,0.0,N,6.0,13504,2.5,3690,N,N,N,N,39.5,35.7,30.9
524,"Burleigh County, North Dakota",39075,85609,82.7,86247,22.7,18987,25.6,20514,1.2,10053,0.4,N,15.7,21961,23811,106946,11.2,83487,26.0,80346,44.7,127714,7.6,81629,8.5,137531,2.0,86204,94487,36308,90.9,38234,2.2,13051,4.4,9460,0.8,77158,0.1,N,0.1,N,1.5,12733,2.3,24852,89.3,38485,31.7,32.2,27.5
525,"Cass County, North Dakota",76206,76699,86.3,74642,23.5,19744,21.3,18569,2.8,8975,2.5,3162,12.1,19940,41012,96267,7.8,49178,26.1,77689,46.9,110311,6.9,91072,11.1,121196,1.3,59654,175249,33156,87.7,35112,5.3,13639,0.8,14615,2.6,27172,0.0,N,0.5,N,3.1,25612,2.7,15492,86.0,35428,26.5,28.5,21.5
526,"Grand Forks County, North Dakota",30045,65489,81.1,68294,17.7,10738,22.8,20155,1.8,7800,2.8,1347,13.4,21217,16452,85933,N,N,N,N,N,N,N,N,N,N,N,N,71083,28396,87.8,30419,4.0,11684,2.5,10397,2.5,13171,0.0,N,0.1,N,3.0,19935,4.0,17831,84.6,30779,26.8,28.4,23.3
527,"Ward County, North Dakota",27803,77678,87.4,76557,20.2,16861,21.0,19001,3.4,8276,1.3,1168,12.1,15688,16967,93009,N,N,N,N,N,N,N,N,N,N,N,N,70210,31562,86.6,32941,2.2,19004,4.3,26167,1.2,N,0.0,N,2.4,8704,3.2,22887,6.1,14777,83.3,33469,35.4,35.0,31.8
528,"Allen County, Ohio",39982,60919,73.9,59862,20.2,19911,31.2,18512,7.8,9436,2.9,4295,20.5,24930,25773,71761,17.1,55101,31.4,51200,31.9,93737,9.9,59126,7.1,114712,2.5,91262,103742,24640,82.5,26805,11.8,12397,0.2,N,0.9,N,0.0,N,1.2,11580,3.4,13054,3.0,15950,80.9,26965,37.1,40.8,31.7
529,"Ashtabula County, Ohio",38728,55721,65.5,60972,20.0,6085,40.1,17758,7.6,7804,2.4,2842,25.8,21140,24683,68925,19.1,43805,37.0,61598,23.3,85800,12.9,73060,5.7,109348,2.1,103459,98231,23266,92.4,23924,4.0,9916,0.3,N,0.5,N,0.0,N,0.2,N,2.6,11712,N,N,N,N,32.9,35.6,25.1
530,"Athens County, Ohio",21732,56230,71.0,55809,19.8,11679,34.2,15927,10.8,7982,3.6,2194,23.7,25275,11007,75159,N,N,N,N,N,N,N,N,N,N,N,N,66186,20343,90.4,20995,3.2,15956,0.0,N,1.9,26732,0.0,N,0.6,N,3.8,5632,1.9,15507,89.4,21100,38.7,37.1,32.3
531,"Belmont County, Ohio",27240,62413,71.8,64760,21.2,10249,36.9,17562,8.0,10332,3.5,1925,22.6,21030,17953,75660,17.8,44081,33.4,61326,27.3,94507,12.1,71855,7.8,149074,1.6,76127,68673,25467,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,34.2,33.2,30.6
532,"Butler County, Ohio",137314,80568,79.3,84000,19.6,11169,29.1,19405,4.4,10186,1.7,2452,20.5,23314,94083,93985,13.0,48936,31.1,64062,34.5,129559,9.6,76051,9.6,142048,2.2,93608,377537,30207,85.4,31519,8.1,21887,0.1,47937,2.7,35421,0.0,N,0.9,14492,2.8,13243,4.6,15296,81.8,32228,40.4,39.7,32.4
533,"Clark County, Ohio",54548,60848,72.3,59576,18.3,20183,36.4,17705,7.7,9239,11.3,2813,25.1,21528,34748,68995,17.4,40487,34.2,56681,30.3,94038,9.2,63885,6.3,99160,2.5,74479,134786,24990,86.9,26321,7.4,18299,0.2,34438,0.3,36196,0.0,N,0.6,17112,4.6,10747,3.3,11575,84.3,26829,36.3,37.1,30.8
534,"Clermont County, Ohio",77925,80677,79.5,79518,17.8,29630,30.4,18284,5.0,9695,1.9,2478,19.9,24807,55474,91830,13.6,46596,30.1,75120,36.7,113250,7.0,77359,9.3,141447,3.2,83104,203022,31614,95.3,32150,1.7,12356,0.0,N,1.4,27594,0.1,N,0.2,N,1.3,17699,1.8,23428,93.8,32338,31.4,32.2,24.4
535,"Columbiana County, Ohio",41469,59138,72.1,60527,19.1,10648,40.5,17675,4.7,7490,2.4,3275,24.0,19767,29529,67351,17.6,35033,30.2,55115,31.7,86520,8.8,59701,9.3,97219,2.5,116160,103685,24396,94.5,25183,2.7,10698,0.2,N,0.0,N,0.0,N,1.1,4902,1.5,15833,1.6,16516,94.1,25070,29.9,29.3,24.1
536,"Cuyahoga County, Ohio",534355,69704,73.3,74301,19.4,18601,30.6,17409,7.5,9259,3.3,2814,19.3,24321,301434,88399,16.5,43692,34.2,70533,27.9,126730,11.6,75954,7.6,139369,2.2,106460,1249352,30580,62.5,37428,29.4,17876,0.2,34931,2.8,40794,0.0,18643,1.7,14936,3.4,13736,5.7,17730,59.2,38323,32.5,33.3,26.0
537,"Delaware County, Ohio",68617,128117,82.6,129587,28.1,28521,24.4,21787,2.2,9816,1.1,4085,18.6,35090,50555,150128,9.4,67695,26.6,109657,44.5,179527,7.7,155401,10.1,197852,1.6,160808,196463,45548,88.1,46528,3.5,25685,0.1,N,5.8,56078,0.0,N,0.4,N,2.1,15178,2.6,15128,85.8,47357,27.0,26.9,21.0
538,"Erie County, Ohio",30682,73232,73.4,66641,29.3,27722,41.0,18331,6.6,11079,1.1,2079,28.6,23747,19403,90276,16.5,48961,38.1,88759,31.5,108215,5.8,103752,5.7,105789,2.3,94153,75107,31715,85.5,34652,9.2,16320,0.1,N,0.8,26499,0.0,N,1.0,14726,3.4,N,4.4,15163,83.2,35033,30.4,29.5,25.6
539,"Fairfield County, Ohio",55614,81512,78.9,78298,19.7,23077,30.6,18910,6.1,11839,2.6,2332,24.8,29490,40150,86230,13.3,42929,30.8,69321,35.2,111280,12.1,76870,7.1,130365,1.6,94038,152597,31007,87.5,32016,7.3,30328,0.3,N,1.0,35942,0.0,N,0.9,N,3.1,10214,2.1,21060,86.8,31900,26.0,25.0,19.6
540,"Franklin County, Ohio",502932,75539,82.7,76979,16.9,13997,22.9,16550,5.2,9030,1.9,2581,15.9,27457,291680,90790,11.1,44991,34.2,66433,34.1,125153,10.9,75792,7.1,133866,2.7,100471,1264518,30954,67.6,36328,22.2,19161,0.2,15835,5.0,26191,0.1,15762,1.2,13810,3.8,16660,5.3,17635,64.1,37317,28.8,30.9,24.1
541,"Geauga County, Ohio",35519,98903,79.3,99137,25.4,24692,31.6,22443,3.3,10933,1.6,2571,21.4,23437,27134,112484,13.9,67445,27.2,87935,32.4,119263,6.5,140259,14.3,146028,5.6,186450,94060,36337,N,N,N,N,N,N,N,N,N,N,N,N,N,N,1.4,23461,95.7,36698,34.3,35.1,25.0
542,"Greene County, Ohio",63908,82225,74.3,81392,24.8,13573,31.1,18610,4.5,9915,2.6,3218,26.9,35640,41025,100559,19.1,72309,31.2,88695,30.5,120136,8.8,76518,8.9,155953,1.6,119076,164765,32710,85.6,34433,7.1,20898,0.1,N,3.0,34989,0.0,N,1.0,9589,3.2,18533,2.8,22987,83.8,34516,27.1,27.6,22.6
543,"Hamilton County, Ohio",335907,77511,78.3,78893,20.8,21770,26.4,17822,6.5,9433,3.6,3623,17.9,26659,193646,98957,12.6,54339,34.0,81743,32.9,128158,10.6,76499,7.2,154294,2.7,108199,809099,32971,67.1,39386,25.8,19222,0.1,19946,2.6,32536,0.0,N,1.5,18981,2.8,14722,3.1,25126,65.5,39473,35.2,34.0,29.4
