Geography,Percent; Estimate; Population 18 to 24 years - Less than high school graduate,Percent Females; Estimate; Population 18 to 24 years - Less than high school graduate,Percent Females; Estimate; Population 18 to 24 years - Some college or associate's degree,Percent; Estimate; Population 18 to 24 years - Bachelor's degree or higher,Percent Females; Estimate; Population 25 years and over - Less than 9th grade,"Percent Females; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",Percent Females; Estimate; Population 25 years and over - High school graduate (includes equivalency),Percent Males; Estimate; Population 25 years and over - Bachelor's degree,Percent Females; Estimate; Percent high school graduate or higher,Percent Males; Estimate; Percent bachelor's degree or higher,Percent Females; Estimate; Percent bachelor's degree or higher,Percent Females; Estimate; Population 25 to 34 years - High school graduate or higher,Percent Males; Estimate; Population 25 to 34 years - Bachelor's degree or higher,Percent Females; Estimate; Population 25 to 34 years - Bachelor's degree or higher,Percent Females; Estimate; Population 45 to 64 years - Bachelor's degree or higher,Percent Females; Estimate; Population 65 years and over - High school graduate or higher,Percent Males; Estimate; Population 65 years and over - Bachelor's degree or higher,Percent Females; Estimate; Population 65 years and over - Bachelor's degree or higher,"Percent Females; Estimate; White alone, not Hispanic or Latino - High school graduate or higher","Percent Males; Estimate; White alone, not Hispanic or Latino - Bachelor's degree or higher","Percent Females; Estimate; White alone, not Hispanic or Latino - Bachelor's degree or higher",Percent Males; Estimate; Black alone - High school graduate or higher,Percent Males; Estimate; Asian alone - Bachelor's degree or higher,Percent Females; Estimate; Asian alone - Bachelor's degree or higher,Percent Males; Estimate; Native Hawaiian and Other Pacific Islander alone - High school graduate or higher,Percent Males; Estimate; Some other race alone - High school graduate or higher,Percent Males; Estimate; Some other race alone - Bachelor's degree or higher,Percent; Estimate; Two or more races - Bachelor's degree or higher,Percent Males; Estimate; Hispanic or Latino Origin - Bachelor's degree or higher,Percent Females; Estimate; Hispanic or Latino Origin - Bachelor's degree or higher,Percent Males; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - High school graduate (includes equivalency),Percent Males; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Some college or associate's degree,Percent Females; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Bachelor's degree or higher,Total; Estimate; All households - With earnings,Total; Estimate; All households - With Social Security income,Total; Estimate; All households - With cash public assistance income,"Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, other","Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, other",Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - White,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Asian,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - Two or more races,"Total; Estimate; White alone, not Hispanic or Latino",Total; Estimate; PERCENT ALLOCATED - Household income in the past 12 months,Total; Estimate; PERCENT ALLOCATED - Family income in the past 12 months
"Suffolk County, Massachusetts",10.1,7.3,50.5,21.2,8.4,6.1,22.3,26.4,85.5,44.4,45.2,93.5,63.7,66.1,34.1,72.4,30.2,25.2,96.0,63.6,64.9,84,48.1,47.4,N,65.8,13.1,16.3,16.5,21.3,15.9,14.3,10.3,80.5,21.3,3.6,15.2,5.9,55.1,8.8,7.5,45.6,40.7,45.0
"Worcester County, Massachusetts",9.8,9.6,43.3,13.8,3.2,5.5,26.6,21.5,91.3,35.2,36.5,95.1,32.5,43.7,35.5,84.3,33.3,24.1,94.1,36.4,37.9,84.1,62.2,53.5,N,64,7.7,26.8,9.6,13.4,9.3,6.9,3.6,79.0,30.4,2.6,10.3,2.7,83.3,4.9,2.6,77.4,34.0,34.1
"Allegan County, Michigan",11.9,8.6,42.2,6.9,4.2,3.6,34.9,11.9,92.2,20.2,23.4,95.4,14.8,28.3,22.0,85.6,30.2,18.6,94.4,21.4,24.3,N,N,N,N,N,N,19.9,2.8,10.4,5.1,6.6,4.0,79.7,33.0,1.3,6.9,2.3,94.1,0.4,3.2,88.6,41.5,40.8
"Bay County, Michigan",15.0,8.2,44.2,4.9,2.5,7.0,33.6,10.9,90.5,15.0,20.3,92.3,15.9,29.2,22.0,80.7,14.1,8.2,90.5,16.0,20.1,78.2,N,N,N,N,N,N,3.2,17.8,10.0,9.4,8.3,71.6,38.5,2.7,9.3,1.2,94.6,0.3,2,90.1,38.4,37.0
"Berrien County, Michigan",16.1,10.2,43.9,11.1,3.0,7.5,26.0,15.7,89.5,28.9,27.7,89.4,24.5,28.5,26.5,86.0,31.0,24.1,92.6,30.1,29.0,80.8,N,N,N,N,N,17.5,25.4,27.3,17.1,9.6,3.6,74.1,38.5,1.9,11.2,1.7,78.2,1.9,3.7,75.2,36.4,38.0
"Calhoun County, Michigan",12.9,14.9,44.0,6.4,2.8,7.0,35.1,13.0,90.2,18.2,22.1,92.8,10.4,18.4,24.3,88.9,24.1,16.9,91.7,18.0,22.4,94.6,N,N,N,N,N,34.5,1.5,8,15.1,10.1,3.3,72.3,36.5,3.0,9.3,1.6,82,2,4.6,77.9,28.8,27.8
"Clinton County, Michigan",10.8,11.5,62.2,9.3,0.9,3.2,29.0,20.3,95.9,32.4,33.2,95.4,19.9,37.2,32.7,94.2,32.9,20.3,96.1,33.2,33.1,N,N,N,N,N,N,N,16.2,20.9,7.0,6.6,2.1,76.2,32.7,1.1,7,0.8,94,2,1.9,90.1,27.0,28.0
"Eaton County, Michigan",9.9,10.0,63.9,10.9,2.5,4.2,26.6,15.6,93.3,23.7,27.3,94.8,30.3,36.8,28.0,87.3,26.3,20.7,93.5,23.4,25.5,93.6,N,N,N,N,N,N,33.4,20.7,11.2,3.8,3.3,74.7,36.2,3.7,9.3,3.2,87.1,1.9,3.8,83.1,31.6,31.2
"Genesee County, Michigan",17.8,12.5,51.7,8.1,2.1,6.8,31.3,11.9,91.1,19.6,20.5,94.1,17.2,23.1,20.1,85.9,21.8,16.5,91.5,21.8,22.0,88.7,74.4,71,N,N,N,24.4,5.8,11.3,17.6,11.1,7.4,67.1,37.4,3.8,8.5,1.5,74.6,1,3.4,72.3,39.0,39.5
"Grand Traverse County, Michigan",23.6,17.2,48.6,9.1,1.2,3.7,23.7,19.2,95.1,32.3,33.3,99.6,27.2,35.9,33.4,93.5,40.6,30.3,95.0,33.2,34.3,N,N,N,N,N,N,N,N,N,7.0,7.8,5.3,75.9,37.1,4.0,N,N,94.9,0.5,2.1,92.2,24.7,22.8
"Ingham County, Michigan",6.9,6.1,58.1,11.7,2.1,5.1,21.0,18.4,92.8,36.3,40.0,92.8,41.5,52.3,36.2,90.2,40.7,29.6,95.7,38.2,41.1,84.1,69.1,67.9,N,48.7,5,25.3,14.7,24.4,13.8,9.5,5.3,78.3,28.5,2.3,11.4,1.9,74.3,6.6,5.2,70.1,31.5,30.6
"Isabella County, Michigan",5.0,3.6,70.1,8.2,3.6,4.0,27.5,17.0,92.4,30.5,30.0,88.2,31.7,23.6,31.1,89.0,24.0,25.2,93.5,28.5,30.7,N,N,N,N,N,N,25.7,31.5,19.3,14.0,3.4,4.7,76.6,29.3,1.9,7.1,2.2,87.9,2,5.5,85.5,26.5,25.0
"Jackson County, Michigan",14.6,7.3,44.5,5.3,2.2,5.6,26.2,15.6,92.2,22.2,21.6,89.3,20.1,24.7,22.2,91.8,26.0,14.6,93.5,23.5,21.7,71.5,N,N,N,N,N,N,15.2,16.3,15.0,5.1,2.9,72.3,38.8,2.9,8.3,1.1,87.3,0.8,2.4,84.7,33.7,31.8
"Kalamazoo County, Michigan",7.9,7.2,54.1,10.6,1.8,3.2,22.9,21.5,95.0,38.0,37.9,95.6,40.1,47.1,31.7,92.9,47.7,32.2,97.2,40.0,40.0,82.7,52.8,64.4,N,N,N,14.4,21.8,21.2,13.1,8.1,4.5,77.3,30.7,2.9,10,1.4,81.1,2.6,4.5,77.7,30.6,28.8
"Kent County, Michigan",12.8,9.2,52.0,11.5,3.8,4.9,23.7,22.5,91.2,34.4,35.0,93.1,38.5,41.8,32.9,88.2,34.4,25.5,95.2,38.9,38.4,82.7,38.5,32.2,N,49.9,5.1,19.5,10.3,13.5,10.4,6.0,3.1,81.6,28.0,2.3,9,2.7,80.2,2.9,4,74.2,30.6,29.0
"Lapeer County, Michigan",28.2,12.5,44.9,3.6,2.7,7.1,34.4,12.2,90.2,17.3,17.9,88.4,19.3,23.0,16.5,87.8,15.6,11.0,90.7,16.8,17.8,N,N,N,N,N,N,N,18.4,19.8,11.7,7.8,4.4,72.6,37.6,7.0,9.1,1.8,95.5,0.6,1.9,91.8,39.9,36.0
"Lenawee County, Michigan",11.6,9.3,43.4,3.4,1.6,5.5,36.9,12.5,92.8,18.5,25.7,92.0,20.7,34.4,23.9,87.5,16.4,17.6,93.2,20.0,26.0,69.1,N,N,N,N,N,39.2,4.2,13.7,14.0,6.3,7.8,76.9,37.4,1.7,7,1.7,92.7,0.3,2.6,86.5,36.2,35.8
"Livingston County, Michigan",11.7,11.0,50.7,10.8,1.5,3.8,27.4,24.0,94.7,35.1,33.2,93.3,29.8,32.7,34.4,90.0,34.5,22.3,95.4,35.0,33.1,N,N,N,N,N,N,32.7,35.4,22.4,6.0,3.0,3.8,78.8,34.3,1.4,5.9,3.3,96.7,0.9,1.3,94.6,29.7,29.5
"Macomb County, Michigan",14.1,8.7,52.7,9.5,3.6,5.6,32.4,16.8,90.8,24.8,24.9,93.1,26.7,36.7,23.0,83.2,22.9,12.9,91.5,24.7,24.6,86.3,47.3,45.7,N,N,N,31,27.2,24.4,10.9,5.5,4.9,75.8,34.8,1.5,10.2,3.9,81.4,3.8,2.4,79.5,34.4,35.3
"Marquette County, Michigan",3.8,4.4,65.4,8.5,1.1,3.2,31.1,20.7,95.7,31.4,35.0,95.5,21.7,46.9,34.5,90.1,39.0,20.2,96.0,32.1,35.2,N,N,N,N,N,N,N,N,N,15.8,11.9,6.0,68.9,38.3,1.8,6.9,0.3,92.8,1,4.2,92.3,37.7,35.3
"Midland County, Michigan",7.5,8.0,44.4,12.4,1.0,4.2,27.8,21.3,94.7,34.8,32.7,94.7,32.7,34.7,33.5,92.2,37.1,27.0,94.3,34.0,32.5,N,N,N,N,N,N,N,N,N,15.5,3.4,4.1,73.9,33.1,2.2,7.5,2.9,92.9,2.1,2.8,91.5,30.3,31.4
"Monroe County, Michigan",13.3,11.2,62.6,3.7,2.2,5.9,34.7,14.1,91.9,19.0,19.6,92.4,23.1,25.8,17.8,82.5,17.0,14.4,91.9,18.9,19.2,81.2,N,N,N,N,N,N,32.4,32.2,10.1,4.4,5.9,72.9,39.1,1.8,9.3,1.9,94.4,0.6,1.3,91.6,29.5,30.5
"Muskegon County, Michigan",22.3,18.9,34.6,5.0,2.0,7.1,33.7,11.8,90.9,17.1,16.2,91.1,10.9,15.1,15.7,88.8,25.9,13.1,93.2,18.9,17.9,76.1,N,N,N,N,N,6.5,11.3,1.7,15.6,11.9,5.6,72.8,38.9,3.4,8.2,1.2,80.3,0.7,3.6,76.3,35.1,33.6
"Oakland County, Michigan",10.9,10.1,46.1,17.4,2.0,3.9,19.6,27.2,94.1,48.5,44.1,96.1,51.8,53.3,44.7,89.4,44.1,28.4,94.6,49.0,43.4,90.6,86.1,73.7,N,64.7,40.3,42.5,39.3,39.4,8.9,6.3,4.1,79.2,30.3,1.5,10.2,2.4,75.1,7,3.2,72.5,32.7,33.7
"Ottawa County, Michigan",14.3,11.7,55.8,11.0,2.6,4.7,30.9,22.7,92.7,32.8,31.0,94.7,28.5,33.4,28.1,86.5,32.2,24.9,94.7,35.8,32.2,N,19.6,29.5,N,45.3,15.1,17.3,10.8,15.2,8.0,2.2,2.0,81.0,30.9,2.3,8.2,3.3,90.4,2.2,3.4,84.2,32.7,31.5
"Saginaw County, Michigan",12.2,10.7,54.3,5.9,2.3,6.2,33.3,14.9,91.5,23.3,22.3,96.3,22.4,27.3,21.4,84.4,22.4,11.5,93.0,26.7,24.4,82,N,N,N,88.3,16.9,35.4,11.4,15.2,16.7,8.4,4.7,69.0,40.6,2.3,9.3,0.8,75.4,1.3,3,69.5,36.9,37.3
"St. Clair County, Michigan",17.4,16.5,36.7,4.0,3.3,7.2,34.1,10.2,89.5,14.6,18.1,96.4,14.6,21.4,17.5,82.9,17.3,13.5,90.3,14.6,18.1,87.4,N,N,N,N,N,27.1,12.2,15.7,7.7,6.2,6.2,71.4,38.4,3.1,8.2,3.6,93.3,0.8,2.6,91.2,33.5,33.8
"Shiawassee County, Michigan",8.6,10.6,42.3,4.7,0.9,4.2,34.7,10.1,94.9,14.0,18.0,95.5,10.6,26.2,22.0,91.0,15.0,7.4,95.1,14.6,17.4,N,N,N,N,N,N,N,N,N,8.7,4.8,3.4,72.7,39.8,2.3,9.6,1.4,96.8,0.3,1.9,94.3,32.2,31.8
"Van Buren County, Michigan",23.1,11.9,46.4,8.5,3.3,8.7,29.0,12.2,88.0,17.0,22.7,87.7,20.6,23.0,21.6,86.6,17.5,20.6,92.0,18.5,24.5,81.1,N,N,N,N,N,13.6,6.6,2.3,14.8,8.8,3.3,74.1,36.4,1.6,6.8,1.8,86.3,0.6,5.2,81.3,32.8,29.2
"Washtenaw County, Michigan",5.9,5.6,54.0,20.6,1.3,3.2,14.9,25.4,95.5,55.4,54.2,94.3,58.2,62.8,50.4,90.9,52.6,45.7,97.3,58.5,56.9,90.9,83.7,78.7,N,N,N,42.1,48.2,50.6,10.0,9.8,5.8,82.0,25.7,1.4,9.6,1.8,73.8,8.6,4.6,70.5,33.4,32.5
"Wayne County, Michigan",17.3,15.3,46.3,7.1,4.5,9.3,28.7,14.0,86.2,22.8,23.2,88.5,23.6,25.6,23.3,81.8,23.3,17.2,89.4,29.9,27.9,80.2,59,52.7,N,56.7,6.7,19.9,10.2,12.2,19.6,13.1,5.3,71.7,32.3,3.7,12.7,3.9,52.8,3.1,2.8,49.6,38.3,40.7
"Anoka County, Minnesota",13.3,11.3,47.5,8.2,2.0,3.2,26.8,17.3,94.8,25.1,29.2,96.8,20.6,37.2,28.5,87.3,25.9,18.7,96.5,25.7,30.0,94.8,32.2,36.8,N,58.7,9.1,23.5,13.8,12.9,6.6,1.4,2.4,83.2,28.0,3.7,8.9,2.1,84.3,4.5,3.2,82.1,27.0,26.0
"Blue Earth County, Minnesota",3.0,1.2,75.8,5.2,2.2,3.0,25.2,18.9,94.8,28.5,36.9,100.0,26.3,44.8,33.6,91.8,36.5,24.5,96.4,29.5,37.8,N,N,N,N,N,N,N,N,N,10.6,5.1,3.0,83.5,25.0,2.1,9.8,1.7,91.4,2,2.5,88.6,35.6,33.3
"Carver County, Minnesota",16.9,14.0,45.6,16.4,0.5,1.7,16.2,37.9,97.8,49.0,46.9,99.0,46.9,57.4,45.2,91.4,37.7,25.0,97.8,50.6,48.7,N,N,N,N,N,N,N,N,N,3.1,4.1,2.0,85.5,23.4,1.6,8.1,1.5,91.7,3.2,1.4,89.4,24.2,22.2
"Dakota County, Minnesota",13.5,12.3,44.8,15.3,2.9,2.8,20.1,28.5,94.3,41.2,40.7,93.8,38.5,45.8,39.9,91.2,38.0,27.9,97.5,43.0,43.5,89.8,47.7,45.4,N,56.8,15.7,26,21.3,16.5,6.3,4.2,2.6,83.1,25.4,2.1,8.9,2.6,82.7,4.8,3.4,79.2,25.5,26.2
"Hennepin County, Minnesota",11.1,10.1,45.2,21.8,3.3,4.0,16.3,31.2,92.8,48.2,49.3,94.9,51.2,58.9,47.7,91.0,48.1,32.5,97.7,53.8,55.2,86.4,52.6,51.2,N,47.4,9.3,43.8,14.3,22.6,14.0,9.1,3.3,81.9,24.6,4.8,9.1,2.3,72.5,7,3.5,69.4,28.2,28.1
"Olmsted County, Minnesota",12.6,13.7,41.6,19.6,2.9,3.1,15.8,25.7,94.0,41.0,44.1,93.2,44.6,63.3,40.4,90.5,37.5,26.3,96.9,42.0,44.8,82,60.1,58.1,N,N,N,N,17,14,9.0,7.5,2.5,80.3,27.9,3.6,5.8,1.7,84.3,5.9,1.9,80.8,25.9,24.5
"Ramsey County, Minnesota",10.4,8.1,47.5,17.5,5.7,4.2,21.4,24.6,90.1,40.5,41.3,91.5,38.0,47.9,42.3,90.9,43.7,30.8,97.3,47.3,49.1,85.1,29.2,27.7,N,64,11.1,33.1,15.2,15.1,8.4,8.2,4.7,79.8,28.7,5.9,11.4,2.6,66.3,14.1,4.9,62.8,27.8,28.3
"Rice County, Minnesota",7.0,8.0,77.3,5.8,4.0,3.5,30.1,15.2,92.5,26.8,27.5,93.2,22.7,41.8,24.9,88.4,30.4,21.5,95.8,29.0,28.6,N,N,N,N,N,N,N,17.1,1.2,4.1,4.3,1.4,80.7,31.5,3.3,8.2,3.9,85.6,2.1,2.5,83.3,31.9,29.8
"St. Louis County, Minnesota",7.2,8.3,60.0,9.1,1.7,4.9,26.5,16.7,93.4,25.5,29.3,91.1,24.0,40.2,30.5,89.1,25.4,20.3,94.5,26.3,30.1,85.3,N,N,N,N,N,16.4,N,N,15.1,8.7,3.2,70.7,33.2,2.9,8.4,1.5,92.1,1.1,2.1,91.3,31.9,31.3
"Scott County, Minnesota",12.9,10.5,50.5,11.0,3.2,1.0,21.7,29.3,95.9,39.8,40.3,94.5,28.3,45.8,38.3,93.3,28.8,22.6,97.8,41.6,41.7,N,47.4,44.7,N,N,N,N,3.5,27.2,5.5,3.7,1.7,88.7,21.4,2.3,7.9,1.5,83.3,5.6,3.7,81.7,27.7,26.6
"Sherburne County, Minnesota",13.7,11.9,55.4,9.2,1.6,2.4,26.4,18.6,96.0,24.5,27.3,98.1,26.0,25.4,23.2,86.8,21.6,16.5,96.5,23.9,28.3,N,N,N,N,N,N,N,N,N,1.8,2.6,0.9,87.1,23.2,1.3,8.9,2.1,92.7,0.8,2.3,91.5,34.1,32.4
"Stearns County, Minnesota",8.6,7.4,63.5,10.5,3.8,2.7,26.6,17.1,93.5,23.8,28.0,95.5,21.4,39.4,27.1,87.8,28.1,17.0,95.7,24.5,27.5,91.6,N,N,N,N,N,N,37.4,37.6,7.2,7.4,2.5,82.1,26.3,3.0,8.4,2.2,88.7,2.4,1.6,87.1,35.1,35.1
"Washington County, Minnesota",9.6,5.8,45.0,17.5,2.3,1.7,21.8,24.4,96.0,39.9,43.5,97.3,42.2,54.5,43.4,93.6,39.8,26.1,98.1,40.6,43.7,83.4,58.5,48.1,N,87.7,12.5,41,26.4,40.6,4.7,2.1,2.7,81.7,28.4,1.7,7.6,1.4,85.7,5,3.2,83.3,30.3,28.7
"Wright County, Minnesota",13.7,12.0,56.2,8.4,1.5,2.4,26.6,20.6,96.0,29.1,32.4,99.0,36.6,38.0,29.3,94.6,24.8,24.0,97.5,29.1,32.3,N,N,N,N,N,N,N,N,N,6.0,2.3,2.4,84.0,24.6,2.0,4.7,1.5,94.4,1.5,1.4,92.8,30.3,28.8
"DeSoto County, Mississippi",20.8,23.1,49.5,3.1,2.7,4.4,28.9,13.6,92.9,21.6,28.2,95.9,16.2,29.7,26.1,83.2,24.1,14.4,94.9,23.4,28.9,89.1,N,N,N,N,N,N,8.6,31.4,4.4,4.1,6.4,83.4,29.5,1.0,9.9,1.8,68.3,1.5,1.6,65.6,35.3,33.9
"Forrest County, Mississippi",9.2,6.2,69.4,7.2,4.6,7.1,25.0,10.4,88.2,18.2,30.7,89.3,21.5,41.2,28.6,75.5,21.6,20.2,91.1,25.2,36.5,87.9,N,N,N,N,N,N,N,N,21.5,11.9,7.1,75.5,29.3,1.6,9.1,6.8,N,N,N,N,34.9,33.2
"Harrison County, Mississippi",13.7,11.1,50.2,3.2,2.6,11.0,28.4,12.2,86.4,18.5,21.8,86.9,13.0,24.0,20.8,79.7,25.8,15.3,87.2,20.2,23.3,86.7,4.2,8.4,N,N,N,27.8,19.6,11.8,16.4,6.6,6.7,76.4,32.9,2.1,8,0.8,68.6,2.8,2.9,64.3,30.6,29.5
"Hinds County, Mississippi",18.5,14.7,58.4,8.1,3.4,7.0,22.0,16.9,89.6,27.7,31.3,92.5,28.7,31.5,30.5,82.7,37.0,33.3,96.3,46.2,45.7,83.5,N,N,N,N,N,N,16.3,5.5,15.6,10.2,5.7,77.7,28.5,2.9,12.8,3.2,25.5,0.8,0.5,24.7,37.7,40.6
"Jackson County, Mississippi",11.3,11.1,46.3,3.6,3.1,6.5,32.6,12.3,90.5,19.5,25.3,96.0,16.1,41.3,20.0,82.2,23.5,15.7,91.5,23.7,26.0,89.5,N,N,N,N,N,N,N,N,12.9,14.9,2.2,73.2,33.7,1.5,11.4,2.3,70,2.7,1.5,68,36.2,38.1
"Jones County, Mississippi",10.1,19.1,41.5,0.7,7.1,7.9,25.5,11.3,85.1,16.0,21.2,75.8,4.7,11.8,27.8,81.8,23.1,17.7,87.2,21.7,26.2,75.5,N,N,N,N,N,N,N,N,23.1,2.9,2.8,73.4,35.7,1.6,3.5,3.2,N,N,N,N,34.4,35.0
"Lauderdale County, Mississippi",22.5,11.3,51.4,8.7,5.3,7.2,27.9,11.0,87.5,17.3,25.3,96.5,16.2,43.4,23.7,82.1,21.5,14.7,94.2,23.3,30.0,76.2,N,N,N,N,N,N,N,N,16.3,13.8,6.4,71.2,35.8,1.4,N,N,N,N,N,N,41.9,43.3
"Lee County, Mississippi",11.4,3.1,38.4,4.7,2.7,15.2,24.2,16.4,82.2,23.9,23.7,87.3,22.7,28.3,24.4,68.0,22.7,9.2,88.2,29.5,27.0,80.9,N,N,N,N,N,N,N,N,15.2,4.6,5.8,74.7,34.1,1.9,8.6,1.6,67.7,0.9,1.8,65.9,38.5,40.4
"Madison County, Mississippi",16.2,13.1,54.3,6.4,2.1,6.1,16.8,26.9,91.8,44.9,47.8,93.3,33.1,46.4,49.7,80.3,48.8,40.6,96.2,59.1,58.9,79,N,N,N,N,N,N,N,N,5.4,4.7,4.6,81.1,27.5,0.9,12.9,1.9,56.4,2.6,1,55.2,35.7,39.6
"Rankin County, Mississippi",9.9,10.6,37.2,17.5,2.3,5.5,30.7,18.6,92.2,28.1,30.1,95.0,32.4,33.8,23.3,89.3,34.5,24.3,95.4,33.3,31.6,72.8,N,N,N,N,N,N,N,N,4.1,2.1,2.5,82.5,28.4,2.4,9.4,3.5,76.1,1,0.6,74.6,36.2,38.0
"Boone County, Missouri",6.4,3.3,62.2,17.5,1.5,2.7,21.9,25.6,95.8,44.8,43.1,98.8,50.9,49.0,40.8,92.4,45.4,30.5,96.4,45.5,44.9,86.2,76,73.3,N,N,N,N,N,N,7.8,10.9,5.7,82.7,23.5,1.8,7,1,80.8,5.1,2.9,79.4,32.0,32.5
"Buchanan County, Missouri",14.3,10.8,54.2,11.8,6.1,6.7,28.5,14.4,87.2,20.9,23.9,90.8,27.1,28.2,21.7,81.8,27.4,22.1,89.7,22.3,26.0,74.4,N,N,N,N,N,N,20.8,14,12.1,12.2,0.8,72.0,34.5,1.8,9.8,2.1,87.6,1.2,3.8,83.7,33.5,32.6
"Cape Girardeau County, Missouri",5.0,3.8,58.0,13.9,2.6,7.4,30.4,16.3,90.0,29.7,31.2,93.1,26.1,26.4,32.3,83.0,29.8,24.8,90.0,29.7,33.1,95.8,N,N,N,N,N,N,N,N,5.0,14.5,3.9,77.9,33.6,1.4,6.2,2.8,87.5,1.7,2.8,86.2,43.0,41.6
"Cass County, Missouri",15.6,17.9,43.0,4.4,2.5,4.0,31.1,15.3,93.6,22.8,25.3,95.0,14.1,24.5,23.6,87.7,31.2,20.9,94.6,23.3,25.6,N,N,N,N,N,N,N,21.2,11.1,7.0,6.9,2.4,79.4,33.4,2.1,8.8,1.2,91.3,0.8,3.9,88.2,32.0,32.3
"Christian County, Missouri",17.5,10.0,49.6,4.1,1.5,6.0,28.2,18.6,92.6,24.6,27.0,98.3,32.2,37.5,26.9,87.7,26.8,19.7,92.1,25.0,27.2,N,N,N,N,N,N,N,N,N,15.6,9.3,3.2,76.2,32.1,2.3,N,N,N,N,N,N,28.8,31.0
"Clay County, Missouri",11.0,4.4,42.3,14.9,1.8,4.1,26.7,24.4,94.1,33.4,34.5,94.8,32.6,40.4,34.6,91.5,28.4,18.1,96.3,34.1,35.8,95.4,40.1,20.2,N,N,N,N,10.6,14.1,5.2,4.9,3.1,82.5,27.6,0.8,11.1,2.2,85.4,2.6,2.7,81.5,28.9,30.8
"Cole County, Missouri",25.1,11.0,54.7,6.1,3.5,3.1,24.3,18.2,93.4,31.6,35.4,97.5,19.9,33.7,39.1,84.9,36.6,26.5,94.1,31.8,37.5,81.9,N,N,N,N,N,N,N,N,5.4,3.5,2.6,75.9,32.2,0.8,N,N,84.2,1.4,2.5,81.7,36.0,37.1
"Franklin County, Missouri",17.0,10.0,42.6,2.5,3.9,6.6,26.4,14.5,89.5,22.6,23.9,94.8,31.0,33.0,22.9,77.3,16.4,14.0,89.4,22.9,23.5,N,N,N,N,N,N,N,N,N,2.1,2.8,1.1,74.9,35.1,0.8,7.9,1.9,96.2,0.6,1.4,N,30.8,30.4
"Greene County, Missouri",7.1,4.9,70.5,8.0,2.4,6.0,28.2,19.6,91.6,29.8,29.8,94.0,30.1,42.0,31.9,87.5,36.1,19.4,92.1,31.2,30.4,89.1,36.2,33,N,N,N,N,21.2,27,10.9,8.6,6.7,74.8,32.9,1.5,7.4,1.1,89.4,2,2.6,87.7,31.7,30.8
"Jackson County, Missouri",13.9,10.6,47.8,11.3,3.0,5.9,28.4,20.3,91.0,31.5,30.8,94.1,38.6,42.5,29.7,87.6,30.7,18.7,94.5,37.5,36.6,86.4,51.8,38.8,N,64.7,9.8,25.8,16.1,13.5,12.0,7.7,4.4,78.9,28.5,2.7,10.2,1.9,67,1.8,3.2,62.3,33.4,35.4
"Jasper County, Missouri",8.0,4.4,30.3,4.9,4.4,8.2,34.1,10.7,87.4,17.8,24.0,95.2,11.7,33.0,22.8,87.4,21.0,14.7,90.8,17.7,25.6,N,N,N,N,N,N,N,2.3,1.7,17.2,16.4,12.1,79.1,32.4,1.9,10.1,1.1,90.3,1.4,2.3,84.2,38.5,37.2
"Jefferson County, Missouri",17.1,12.2,45.1,4.4,1.8,9.6,29.5,11.9,88.6,17.2,19.9,94.5,19.2,26.0,19.5,78.2,18.9,11.3,88.6,17.0,19.8,N,N,N,N,N,N,N,N,N,8.6,2.8,1.5,79.7,31.1,1.4,9.2,1.9,96.2,0.8,1.6,94.6,32.8,33.6
"Platte County, Missouri",10.4,11.1,53.1,14.9,2.7,3.5,19.3,29.9,93.9,44.2,41.4,97.1,31.5,40.6,41.7,90.8,45.1,25.4,95.4,43.7,42.3,82.4,N,N,N,N,N,N,55.1,30.4,5.0,7.4,0.0,84.2,25.3,1.0,6.6,1.9,85.9,2.9,3.1,81.4,30.7,31.4
"St. Charles County, Missouri",9.3,6.8,62.0,9.7,1.5,3.9,24.7,26.1,94.6,39.6,39.2,93.9,39.1,48.6,36.3,88.7,37.1,19.3,95.3,39.4,38.5,92.8,68.1,56,N,N,N,54,19,22.4,5.2,3.7,1.8,82.5,29.8,1.0,8.1,3.2,90.1,2.5,2.3,87.4,28.3,28.2
"St. Francois County, Missouri",18.4,8.0,41.7,4.6,3.5,10.1,35.9,4.8,86.4,9.9,17.7,88.5,5.1,17.5,18.7,81.8,15.0,12.9,86.2,11.4,17.3,N,N,N,N,N,N,N,N,N,17.3,4.8,3.7,65.2,38.8,2.8,8.3,4.5,N,N,N,N,27.6,31.0
