Geography,Estimate; Total:,Estimate; Total: - White alone,Estimate; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Estimate; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
"Rio Blanco County, Colorado",6728,6406,48,103,22,0,46,103,0,103
"Rio Grande County, Colorado",11925,9541,69,300,37,2,1612,364,120,244
"Routt County, Colorado",23385,22494,91,72,273,0,178,277,99,178
"Saguache County, Colorado",6189,5010,29,91,13,4,644,398,90,308
"San Juan County, Colorado",747,709,0,4,7,0,15,12,0,12
"San Miguel County, Colorado",7432,7181,15,29,118,0,16,73,7,66
"Sedgwick County, Colorado",2389,2291,6,2,13,5,28,44,7,37
"Summit County, Colorado",27753,25241,164,214,276,82,1504,272,92,180
"Teller County, Colorado",23163,21938,191,187,216,21,263,347,49,298
"Washington County, Colorado",4796,4643,20,48,10,0,30,45,11,34
"Weld County, Colorado",253552,225338,2197,2286,3274,100,13473,6884,1756,5128
"Yuma County, Colorado",10032,9529,15,22,14,0,204,248,39,209
"Fairfield County, Connecticut",918892,699870,99871,1439,42880,323,56527,17982,4673,13309
"Hartford County, Connecticut",893504,654726,117181,2327,38823,397,55599,24451,6897,17554
"Litchfield County, Connecticut",189277,178558,2229,507,3099,8,1776,3100,337,2763
"Middlesex County, Connecticut",165639,147872,7618,126,4430,82,2094,3417,403,3014
"New Haven County, Connecticut",860995,649827,107283,2188,30743,416,49374,21164,5308,15856
"New London County, Connecticut",273723,226453,14834,1472,11859,188,8268,10649,1491,9158
"Tolland County, Connecticut",152137,136874,4411,135,5101,14,1758,3844,160,3684
"Windham County, Connecticut",118046,108037,2233,337,1420,44,2864,3111,385,2726
"Kent County, Delaware",162785,112428,39023,899,3380,141,1882,5032,413,4619
"New Castle County, Delaware",539665,363926,128385,1280,23762,223,10510,11579,1458,10121
"Sussex County, Delaware",197681,157905,25221,698,2035,13,7504,4305,520,3785
"District of Columbia, District of Columbia",605759,239413,309263,2143,21440,312,20652,12536,1635,10901
"Alachua County, Florida",247973,174623,49795,570,13354,180,2756,6695,1025,5670
"Baker County, Florida",27010,22683,3786,24,142,0,76,299,26,273
"Bay County, Florida",168957,139352,17810,870,3357,130,598,6840,741,6099
"Bradford County, Florida",28404,21868,5856,84,90,0,16,490,57,433
"Brevard County, Florida",544019,455284,54218,1477,11054,426,7423,14137,1659,12478
"Broward County, Florida",1761993,1123976,470059,3853,58197,1233,60242,44433,11274,33159
"Calhoun County, Florida",14639,11805,2239,203,27,0,183,182,16,166
"Charlotte County, Florida",160380,145582,8984,335,1921,14,977,2567,145,2422
"Citrus County, Florida",140805,131442,4113,442,2039,18,832,1919,348,1571
"Clay County, Florida",190891,158179,19132,689,5603,43,1833,5412,772,4640
"Collier County, Florida",323548,282480,21477,730,3813,60,10670,4318,1148,3170
"Columbia County, Florida",67546,52458,11882,309,394,0,795,1708,207,1501
"DeSoto County, Florida",34628,27958,4509,39,180,18,1452,472,207,265
"Dixie County, Florida",16301,14248,1532,39,46,0,24,412,80,332
"Duval County, Florida",866431,535374,254680,2616,36377,670,12109,24605,3021,21584
"Escambia County, Florida",298864,207451,66734,1729,8539,549,2446,11416,1189,10227
"Flagler County, Florida",95987,77586,11032,195,2003,101,2881,2189,587,1602
"Franklin County, Florida",11545,9528,1724,16,151,2,59,65,4,61
"Gadsden County, Florida",46823,17330,26009,135,208,0,2356,785,256,529
"Gilchrist County, Florida",16880,15511,935,38,88,0,72,236,19,217
