Geography,Estimate; Total:,Estimate; Total: - White alone,Estimate; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Estimate; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
"Iberville Parish, Louisiana",33386,16446,16240,30,40,0,107,523,17,506
"Jackson Parish, Louisiana",16210,11112,4863,25,54,0,8,148,33,115
"Jefferson Parish, Louisiana",432706,274998,114745,2672,17173,198,15873,7047,1230,5817
"Jefferson Davis Parish, Louisiana",31529,25003,5314,95,86,0,239,792,31,761
"Lafayette Parish, Louisiana",221602,155396,56912,549,3274,81,1582,3808,425,3383
"Lafourche Parish, Louisiana",96453,77363,13000,2599,753,0,1086,1652,155,1497
"LaSalle Parish, Louisiana",14840,12739,1823,135,29,0,29,85,3,82
"Lincoln Parish, Louisiana",46543,25790,18912,106,823,0,339,573,13,560
"Livingston Parish, Louisiana",128192,118139,6796,537,571,2,747,1400,405,995
"Madison Parish, Louisiana",12113,4506,7387,49,10,0,69,92,0,92
"Morehouse Parish, Louisiana",27893,14366,13140,16,36,0,31,304,0,304
"Natchitoches Parish, Louisiana",39434,21477,16322,291,174,34,260,876,122,754
"Orleans Parish, Louisiana",341407,114394,205449,1102,10002,322,5278,4860,665,4195
"Ouachita Parish, Louisiana",153752,93162,56382,438,1334,27,845,1564,183,1381
"Plaquemines Parish, Louisiana",23220,16492,4891,430,816,0,242,349,31,318
"Pointe Coupee Parish, Louisiana",22821,14120,8343,76,82,0,64,136,11,125
"Rapides Parish, Louisiana",131655,84258,42313,828,1581,44,704,1927,268,1659
"Red River Parish, Louisiana",9068,5369,3575,16,20,0,0,88,0,88
"Richland Parish, Louisiana",20785,13021,7457,12,91,10,8,186,0,186
"Sabine Parish, Louisiana",24265,17080,4054,1843,74,25,178,1011,100,911
"St. Bernard Parish, Louisiana",35947,27454,6411,178,788,0,177,939,82,857
"St. Charles Parish, Louisiana",52663,36966,13948,108,459,23,231,928,236,692
"St. Helena Parish, Louisiana",11106,4989,6005,25,0,0,0,87,0,87
"St. James Parish, Louisiana",21978,10702,11116,12,82,0,17,49,7,42
"St. John the Baptist Parish, Louisiana",45741,20151,24452,121,257,84,251,425,56,369
"St. Landry Parish, Louisiana",83774,47373,34518,87,364,0,262,1170,63,1107
"St. Martin Parish, Louisiana",52343,34549,16081,343,462,16,313,579,8,571
"St. Mary Parish, Louisiana",54285,32678,17351,892,852,18,779,1715,275,1440
"St. Tammany Parish, Louisiana",234283,195913,27018,853,3167,101,3315,3916,456,3460
"Tangipahoa Parish, Louisiana",121209,81287,36544,424,832,18,803,1301,126,1175
"Tensas Parish, Louisiana",5189,2204,2929,0,5,0,47,4,0,4
"Terrebonne Parish, Louisiana",111666,78941,20633,5863,1132,39,1818,3240,196,3044
"Union Parish, Louisiana",22633,16042,6049,82,19,17,171,253,0,253
"Vermilion Parish, Louisiana",58041,47334,8316,256,1217,0,367,551,0,551
"Vernon Parish, Louisiana",51542,39634,7300,636,877,208,551,2336,91,2245
"Washington Parish, Louisiana",47025,31677,14476,85,80,0,116,591,0,591
"Webster Parish, Louisiana",41156,26450,13852,131,166,0,126,431,68,363
"West Baton Rouge Parish, Louisiana",23748,14169,8717,41,102,0,255,464,48,416
"West Carroll Parish, Louisiana",11587,9536,1869,7,33,0,36,106,1,105
"West Feliciana Parish, Louisiana",15575,8181,6964,259,13,0,29,129,12,117
"Winn Parish, Louisiana",15233,10153,4793,130,1,0,96,60,3,57
"Androscoggin County, Maine",107766,100191,1875,174,675,25,360,4466,222,4244
"Aroostook County, Maine",71757,68595,430,998,352,37,164,1181,114,1067
"Cumberland County, Maine",282143,262284,7397,580,5931,60,925,4966,242,4724
"Franklin County, Maine",30704,29738,94,76,181,0,20,595,29,566
"Hancock County, Maine",54470,52949,153,177,469,0,55,667,7,660
"Kennebec County, Maine",122022,117567,807,646,1069,34,357,1542,42,1500
"Knox County, Maine",39848,38703,237,106,230,0,25,547,44,503
"Lincoln County, Maine",34440,33637,75,53,221,0,58,396,0,396
"Oxford County, Maine",57814,56148,251,205,315,40,66,789,9,780
"Penobscot County, Maine",153742,146522,1137,1649,1415,3,470,2546,153,2393
"Piscataquis County, Maine",17432,16910,17,58,136,0,37,274,17,257
"Sagadahoc County, Maine",35394,33962,344,51,253,0,62,722,151,571
"Somerset County, Maine",52098,50542,193,262,222,44,152,683,38,645
"Waldo County, Maine",38761,37673,131,102,163,0,99,593,19,574
"Washington County, Maine",32832,30322,137,1326,142,21,99,785,7,778
"York County, Maine",197861,190692,1060,705,2197,24,407,2776,163,2613
"Allegany County, Maryland",74645,66527,5767,116,644,34,426,1131,108,1023
"Anne Arundel County, Maryland",538473,408521,82542,1384,18618,502,10407,16499,1159,15340
"Baltimore County, Maryland",807318,526372,210312,1956,40991,418,10567,16702,1714,14988
"Calvert County, Maryland",88774,72392,12187,179,1114,0,704,2198,61,2137
"Caroline County, Maryland",32947,26504,4562,124,185,0,924,648,64,584
"Carroll County, Maryland",167249,155665,5535,284,2557,0,805,2403,141,2262
"Cecil County, Maryland",101109,90583,6440,229,1098,31,853,1875,40,1835
"Charles County, Maryland",147107,75096,59877,1320,4832,35,1295,4652,380,4272
"Dorchester County, Maryland",32570,22064,9057,63,328,9,562,487,13,474
"Frederick County, Maryland",234268,193183,20261,948,9129,136,4426,6185,787,5398
"Garrett County, Maryland",30079,29356,288,63,74,32,43,223,42,181
"Harford County, Maryland",245396,199515,31332,534,6036,57,2952,4970,795,4175
"Howard County, Maryland",288676,180357,51279,484,41579,139,5727,9111,857,8254
"Kent County, Maryland",20184,16322,3077,127,160,0,208,290,2,288
"Montgomery County, Maryland",974824,560968,167316,3282,136409,221,70481,36147,7496,28651
"Prince George's County, Maryland",865443,188843,555713,2526,35833,441,59409,22678,3937,18741
"Queen Anne's County, Maryland",47894,42659,3386,223,462,0,563,601,0,601
"St. Mary's County, Maryland",105528,83742,14375,318,2476,50,630,3937,147,3790
"Somerset County, Maryland",26402,14267,10784,43,273,6,211,818,119,699
"Talbot County, Maryland",37746,31050,5289,50,471,0,187,699,109,590
"Washington County, Maryland",147882,125987,14534,410,2265,40,1020,3626,233,3393
"Wicomico County, Maryland",98940,68575,23469,453,2602,0,1360,2481,145,2336
"Worcester County, Maryland",51398,42641,7409,108,617,0,30,593,145,448
"Baltimore city, Maryland",620644,186860,395383,2099,14610,268,7822,13602,946,12656
"Barnstable County, Massachusetts",216021,201956,4538,835,2409,8,2265,4010,459,3551
"Berkshire County, Massachusetts",130866,121401,3479,296,1669,34,1055,2932,507,2425
"Bristol County, Massachusetts",548739,491011,20034,950,10516,41,13600,12587,3063,9524
"Dukes County, Massachusetts",16581,15181,656,179,140,0,242,183,0,183
"Essex County, Massachusetts",744961,605090,26816,1189,23986,115,71917,15848,4161,11687
"Franklin County, Massachusetts",71489,67612,644,204,988,6,464,1571,82,1489
"Hampden County, Massachusetts",464072,360893,40649,1449,9369,11,41794,9907,2754,7153
"Hampshire County, Massachusetts",158850,142760,3901,214,7538,66,1154,3217,467,2750
"Middlesex County, Massachusetts",1507558,1216987,69773,1927,142527,619,38998,36727,6664,30063
"Nantucket County, Massachusetts",10194,9130,575,1,125,0,87,276,15,261
"Norfolk County, Massachusetts",672078,553604,39518,908,59147,51,8459,10391,1509,8882
"Plymouth County, Massachusetts",495407,426413,41590,832,6429,89,10926,9128,2163,6965
"Suffolk County, Massachusetts",724502,406050,161767,2344,60415,329,51418,42179,6538,35641
"Worcester County, Massachusetts",799277,692860,32407,1580,32096,207,21264,18863,3877,14986
"Alcona County, Michigan",10943,10719,18,33,35,0,11,127,9,118
"Alger County, Michigan",9531,8281,716,248,40,0,3,243,0,243
"Allegan County, Michigan",111589,104388,1383,715,765,0,2437,1901,533,1368
"Alpena County, Michigan",29602,28763,149,169,170,0,76,275,36,239
"Antrim County, Michigan",23634,22799,69,183,60,0,165,358,32,326
"Arenac County, Michigan",15952,15371,252,83,30,0,81,135,11,124
"Baraga County, Michigan",8808,6566,1030,711,150,2,30,319,24,295
"Barry County, Michigan",59249,57566,271,196,269,21,260,666,49,617
"Bay County, Michigan",107633,101486,1352,345,593,37,917,2903,664,2239
"Benzie County, Michigan",17554,16924,72,185,41,0,24,308,16,292
"Berrien County, Michigan",156759,122185,23943,634,2598,58,3573,3768,428,3340
"Branch County, Michigan",44920,42375,1262,133,272,3,317,558,26,532
"Calhoun County, Michigan",136063,112927,14885,747,2220,0,1204,4080,208,3872
"Cass County, Michigan",52412,46460,2777,292,421,0,705,1757,176,1581
"Charlevoix County, Michigan",26057,24806,140,397,125,9,148,432,42,390
"Cheboygan County, Michigan",26195,24460,121,632,67,0,53,862,30,832
"Chippewa County, Michigan",38919,28003,1960,6421,294,17,224,2000,108,1892
"Clare County, Michigan",30924,29936,173,227,81,0,94,413,9,404
"Clinton County, Michigan",75274,70560,1532,180,943,30,471,1558,93,1465
"Crawford County, Michigan",14119,13742,147,19,74,11,27,99,11,88
"Delta County, Michigan",37075,35049,97,773,37,72,47,1000,20,980
"Dickinson County, Michigan",26286,25471,75,49,147,0,56,488,92,396
"Eaton County, Michigan",107861,95245,6262,298,1928,11,914,3203,328,2875
"Emmet County, Michigan",32799,30480,198,909,179,64,104,865,50,815
"Genesee County, Michigan",425337,318400,86511,2279,4000,128,1920,12099,795,11304
"Gladwin County, Michigan",25736,25087,140,88,101,2,126,192,31,161
"Gogebic County, Michigan",16297,14924,739,345,49,12,29,199,17,182
"Grand Traverse County, Michigan",87483,83097,1053,903,535,0,363,1532,54,1478
"Gratiot County, Michigan",42340,38648,2188,139,171,20,419,755,200,555
"Hillsdale County, Michigan",46617,45442,239,254,215,0,70,397,3,394
"Houghton County, Michigan",36519,34390,253,260,1071,0,75,470,56,414
"Huron County, Michigan",33001,32169,70,142,176,0,124,320,23,297
"Ingham County, Michigan",281323,215599,31215,1067,14737,123,5400,13182,1697,11485
"Ionia County, Michigan",64149,58330,2496,291,185,5,867,1975,577,1398
"Iosco County, Michigan",25880,24991,96,257,175,0,43,318,33,285
"Iron County, Michigan",11837,11490,143,18,28,1,7,150,20,130
"Isabella County, Michigan",70186,62536,1744,2182,1215,6,253,2250,111,2139
"Jackson County, Michigan",160257,140747,12940,961,1176,66,915,3452,416,3036
"Kalamazoo County, Michigan",250704,206505,28158,1266,5615,94,2120,6946,596,6350
"Kalkaska County, Michigan",17231,16648,93,96,60,28,40,266,13,253
"Kent County, Michigan",605244,496127,58312,2392,14098,236,16188,17891,2522,15369
"Keweenaw County, Michigan",2168,2095,55,0,2,6,1,9,0,9
"Lake County, Michigan",11543,10079,1049,98,13,0,34,270,6,264
"Lapeer County, Michigan",88626,85044,966,260,312,8,815,1221,165,1056
"Leelanau County, Michigan",21677,20268,89,729,82,0,146,363,68,295
"Lenawee County, Michigan",99878,92544,2511,626,402,0,1665,2130,459,1671
"Livingston County, Michigan",181678,175601,772,509,1454,104,677,2561,215,2346
"Luce County, Michigan",6590,5346,751,265,28,0,65,135,13,122
"Mackinac County, Michigan",11144,8494,96,1762,50,0,85,657,27,630
"Macomb County, Michigan",841769,718496,72896,2554,26850,144,4722,16107,1485,14622
"Manistee County, Michigan",24753,22856,754,502,51,0,116,474,37,437
"Marquette County, Michigan",67178,62916,1066,1181,412,2,89,1512,259,1253
"Mason County, Michigan",28672,27367,176,269,145,0,159,556,143,413
"Mecosta County, Michigan",42947,40189,1223,163,332,8,84,948,55,893
"Menominee County, Michigan",24041,22909,50,454,44,2,9,573,50,523
"Midland County, Michigan",83744,78843,1073,326,1728,10,548,1216,187,1029
"Missaukee County, Michigan",14945,14512,62,114,44,0,68,145,6,139
"Monroe County, Michigan",151944,143893,3078,516,861,19,873,2704,164,2540
"Montcalm County, Michigan",63357,59771,1544,196,202,0,450,1194,221,973
"Montmorency County, Michigan",9709,9485,29,24,6,0,13,152,1,151
"Muskegon County, Michigan",171755,138397,24007,1017,1073,55,1676,5530,718,4812
"Newaygo County, Michigan",48517,45536,607,538,160,0,1004,672,126,546
"Oakland County, Michigan",1207097,936574,161550,3459,69016,308,8434,27756,2531,25225
"Oceana County, Michigan",26636,25213,139,243,75,0,536,430,99,331
"Ogemaw County, Michigan",21674,21065,62,62,66,0,25,394,8,386
"Ontonagon County, Michigan",6703,6519,45,61,17,0,5,56,7,49
"Osceola County, Michigan",23486,22773,149,98,45,5,13,403,39,364
"Oscoda County, Michigan",8709,8492,6,89,6,0,5,111,4,107
"Otsego County, Michigan",24175,23384,35,81,131,0,109,435,0,435
"Ottawa County, Michigan",264835,237054,3865,1114,7026,70,9903,5803,1675,4128
"Presque Isle County, Michigan",13368,13037,38,86,50,15,36,106,2,104
"Roscommon County, Michigan",24447,23741,89,152,103,14,77,271,18,253
"Saginaw County, Michigan",200017,151291,37036,718,2193,122,2960,5697,1073,4624
"St. Clair County, Michigan",162978,153102,3937,361,847,13,1046,3672,504,3168
"St. Joseph County, Michigan",61314,57366,1644,191,357,0,462,1294,131,1163
"Sanilac County, Michigan",43096,41806,197,157,44,4,302,586,75,511
"Schoolcraft County, Michigan",8455,7412,28,670,14,0,10,321,10,311
"Shiawassee County, Michigan",70402,68415,403,385,224,39,161,775,97,678
"Tuscola County, Michigan",55616,53538,581,214,162,3,300,818,110,708
"Van Buren County, Michigan",76149,66916,3235,637,454,159,3279,1469,231,1238
"Washtenaw County, Michigan",346010,258770,42384,1017,27382,26,2935,13496,998,12498
"Wayne County, Michigan",1822469,959966,737559,6115,47832,483,30488,40026,4849,35177
"Wexford County, Michigan",32694,31550,159,191,146,3,25,620,91,529
"Aitkin County, Minnesota",16166,15432,76,262,72,0,34,290,29,261
"Anoka County, Minnesota",331649,288614,13811,2163,13395,69,5236,8361,435,7926
"Becker County, Minnesota",32600,28787,115,2248,140,4,91,1215,46,1169
"Beltrami County, Minnesota",44652,33521,367,8526,357,173,104,1604,10,1594
"Benton County, Minnesota",38560,36567,825,184,370,0,16,598,45,553
"Big Stone County, Minnesota",5250,5162,17,11,2,0,4,54,3,51
"Blue Earth County, Minnesota",63991,59295,1670,156,1246,2,334,1288,85,1203
"Brown County, Minnesota",25772,25219,75,28,165,17,158,110,16,94
"Carlton County, Minnesota",35304,31634,565,1897,230,9,217,752,11,741
"Carver County, Minnesota",91355,84539,975,158,2279,32,1546,1826,283,1543
"Cass County, Minnesota",28519,24518,78,2974,109,70,25,745,16,729
"Chippewa County, Minnesota",12327,11631,46,79,52,97,221,201,0,201
"Chisago County, Minnesota",53526,51174,636,274,447,2,239,754,69,685
"Clay County, Minnesota",58937,54597,898,895,733,47,540,1227,72,1155
"Clearwater County, Minnesota",8672,7533,51,766,48,0,9,265,44,221
"Cook County, Minnesota",5206,4569,28,348,39,18,21,183,18,165
"Cottonwood County, Minnesota",11665,10807,63,30,271,0,309,185,15,170
"Crow Wing County, Minnesota",62521,60496,456,580,251,0,82,656,29,627
"Dakota County, Minnesota",399443,341770,19285,1694,17433,352,8678,10231,897,9334
"Dodge County, Minnesota",20071,19493,112,23,110,0,175,158,25,133
"Douglas County, Minnesota",36167,35379,210,139,99,3,10,327,6,321
"Faribault County, Minnesota",14546,14104,75,59,28,0,155,125,35,90
"Fillmore County, Minnesota",20880,20509,35,45,73,0,84,134,6,128
"Freeborn County, Minnesota",31188,29760,239,110,291,0,451,337,112,225
"Goodhue County, Minnesota",46144,44083,502,477,308,0,198,576,72,504
"Grant County, Minnesota",6016,5885,30,9,18,0,32,42,5,37
"Hennepin County, Minnesota",1158039,878366,135342,9486,72135,438,24964,37308,2902,34406
"Houston County, Minnesota",19001,18564,39,40,35,6,30,287,0,287
"Hubbard County, Minnesota",20372,19303,46,445,65,7,71,435,6,429
"Isanti County, Minnesota",38004,36594,231,234,252,6,58,629,45,584
"Itasca County, Minnesota",45052,42149,140,1439,195,23,124,982,24,958
"Jackson County, Minnesota",10273,9802,28,3,208,8,167,57,0,57
"Kanabec County, Minnesota",16255,15823,88,103,66,0,0,175,8,167
"Kandiyohi County, Minnesota",42150,39842,888,211,201,0,430,578,105,473
"Kittson County, Minnesota",4547,4426,26,20,21,0,10,44,8,36
"Koochiching County, Minnesota",13293,12551,37,434,54,0,19,198,61,137
"Lac qui Parle County, Minnesota",7240,7093,29,22,37,3,0,56,11,45
"Lake County, Minnesota",10849,10484,10,24,18,0,97,216,34,182
"Lake of the Woods County, Minnesota",4039,3856,45,35,40,0,0,63,0,63
"Le Sueur County, Minnesota",27744,26478,110,90,132,0,597,337,128,209
"Lincoln County, Minnesota",5876,5755,13,26,11,5,53,13,0,13
"Lyon County, Minnesota",25714,23167,550,145,747,0,841,264,67,197
"McLeod County, Minnesota",36527,34931,287,132,230,0,580,367,26,341
"Mahnomen County, Minnesota",5442,2763,28,2138,66,0,36,411,8,403
"Marshall County, Minnesota",9475,9291,39,43,19,0,19,64,3,61
"Martin County, Minnesota",20727,20202,72,14,92,0,152,195,14,181
"Meeker County, Minnesota",23262,22725,57,62,77,12,149,180,12,168
"Mille Lacs County, Minnesota",26004,23725,121,1502,115,5,131,405,51,354
"Morrison County, Minnesota",33173,32345,146,53,170,0,118,341,50,291
"Mower County, Minnesota",39115,36198,803,64,656,32,672,690,141,549
"Murray County, Minnesota",8690,8425,21,20,33,29,71,91,16,75
"Nicollet County, Minnesota",32689,30683,737,120,431,1,372,345,2,343
"Nobles County, Minnesota",21349,17764,764,67,1038,15,1273,428,31,397
"Norman County, Minnesota",6796,6464,10,115,29,10,11,157,7,150
"Olmsted County, Minnesota",144507,125401,6829,268,7786,41,1009,3173,250,2923
"Otter Tail County, Minnesota",57381,55222,456,297,332,4,356,714,109,605
"Pennington County, Minnesota",13950,13118,192,166,99,29,69,277,43,234
"Pine County, Minnesota",29564,27169,628,836,139,10,184,598,38,560
"Pipestone County, Minnesota",9536,8944,62,144,32,12,194,148,7,141
"Polk County, Minnesota",31426,29303,243,462,236,39,627,516,47,469
"Pope County, Minnesota",10978,10781,53,48,35,0,0,61,0,61
"Ramsey County, Minnesota",510885,366877,55021,3159,60239,237,7765,17587,1534,16053
"Red Lake County, Minnesota",4100,3945,17,46,0,0,16,76,3,73
"Redwood County, Minnesota",16006,14319,91,771,526,0,70,229,6,223
"Renville County, Minnesota",15653,14964,78,137,84,0,292,98,37,61
"Rice County, Minnesota",64171,58228,2017,242,1219,49,1271,1145,228,917
"Rock County, Minnesota",9620,9343,76,41,70,0,2,88,9,79
"Roseau County, Minnesota",15665,14814,56,164,405,0,18,208,22,186
"St. Louis County, Minnesota",200150,186179,2841,4739,1880,28,614,3869,146,3723
"Scott County, Minnesota",130689,114098,3370,777,7445,17,1508,3474,547,2927
"Sherburne County, Minnesota",88558,83767,1583,409,1154,12,181,1452,43,1409
"Sibley County, Minnesota",15189,14616,68,22,87,0,247,149,34,115
"Stearns County, Minnesota",150307,138603,4627,530,2977,31,1486,2053,121,1932
"Steele County, Minnesota",36524,34067,779,40,310,0,576,752,206,546
"Stevens County, Minnesota",9712,9102,44,201,72,0,105,188,4,184
"Swift County, Minnesota",9764,9450,133,45,13,0,68,55,2,53
"Todd County, Minnesota",24783,23629,70,77,133,0,586,288,4,284
"Traverse County, Minnesota",3549,3324,3,164,0,0,21,37,0,37
"Wabasha County, Minnesota",21636,21203,97,28,85,0,67,156,0,156
"Wadena County, Minnesota",13808,13337,57,195,32,0,27,160,25,135
"Waseca County, Minnesota",19089,18013,381,76,112,0,60,447,70,377
"Washington County, Minnesota",238721,210330,8241,613,12389,58,1703,5387,302,5085
"Watonwan County, Minnesota",11177,10225,106,15,133,17,526,155,91,64
"Wilkin County, Minnesota",6584,6391,15,26,21,6,15,110,16,94
"Winona County, Minnesota",51481,48774,603,86,1215,0,169,634,28,606
"Wright County, Minnesota",124737,118062,1139,475,1122,0,1608,2331,171,2160
"Yellow Medicine County, Minnesota",10357,9692,30,249,38,2,167,179,11,168
"Adams County, Mississippi",32391,12794,18739,66,116,0,511,165,0,165
"Alcorn County, Mississippi",37027,31735,4341,81,81,0,328,461,131,330
"Amite County, Mississippi",13139,7477,5576,33,5,0,38,10,0,10
"Attala County, Mississippi",19454,10891,8200,0,0,0,238,125,0,125
"Benton County, Mississippi",8725,5306,3133,67,0,0,101,118,0,118
"Bolivar County, Mississippi",34239,11235,22478,30,182,0,120,194,0,194
"Calhoun County, Mississippi",14903,10565,4193,3,0,34,1,107,0,107
"Carroll County, Mississippi",10553,6825,3536,17,0,0,0,175,0,175
"Chickasaw County, Mississippi",17458,9632,7294,15,62,0,160,295,67,228
"Choctaw County, Mississippi",8506,5731,2714,0,11,0,4,46,0,46
"Claiborne County, Mississippi",9681,1395,8177,11,98,0,0,0,0,0
"Clarke County, Mississippi",16688,10694,5905,6,28,0,9,46,14,32
"Clay County, Mississippi",20633,8257,12123,31,36,0,90,96,11,85
"Coahoma County, Mississippi",26099,6064,19671,23,129,0,76,136,14,122
